ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,Southwest - 1990,6019037,Polio 1 vaccination received,84.1,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP1,93906060,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCOP1,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803457,Polio 2 vaccination received,32.3,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP2,93906070,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCOP2,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090708,Polio 2 vaccination received,35.1,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP2,93906070,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCOP2,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096701,Polio 2 vaccination received,58.4,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP2,93906070,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCOP2,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019040,Polio 2 vaccination received,66.3,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP2,93906070,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCOP2,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803458,Polio 3 vaccination received,16.9,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP3,93906080,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCOP3,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090713,Polio 3 vaccination received,18.7,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP3,93906080,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCOP3,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096702,Polio 3 vaccination received,49.8,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP3,93906080,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCOP3,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019041,Polio 3 vaccination received,50.3,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_OP3,93906080,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCOP3,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803450,Measles vaccination received,31.6,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_MSL,93906090,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCMSL,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090705,Measles vaccination received,39.7,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_MSL,93906090,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCMSL,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096699,Measles vaccination received,53.4,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_MSL,93906090,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCMSL,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019076,Measles vaccination received,62.8,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_MSL,93906090,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCMSL,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803454,Fully vaccinated (8 basic antigens),15.5,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BAS,93906230,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCBAS,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090720,Fully vaccinated (8 basic antigens),17.7,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BAS,93906230,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCBAS,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096706,Fully vaccinated (8 basic antigens),42.4,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BAS,93906230,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCBAS,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019042,Fully vaccinated (8 basic antigens),43.9,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_BAS,93906230,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCBAS,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4803451,Received no vaccinations,54.1,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NON,93906250,I,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCNON,NGDHS1990433001,1990,DHS,359,362,,,1
NGA,Northwest - 1990,2090706,Received no vaccinations,44.1,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NON,93906250,I,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCNON,NGDHS1990433002,1990,DHS,373,302,,,1
NGA,Southeast - 1990,2096707,Received no vaccinations,24.6,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NON,93906250,I,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCNON,NGDHS1990433003,1990,DHS,408,340,,,1
NGA,Southwest - 1990,6019077,Received no vaccinations,15.2,1,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NON,93906250,I,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCNON,NGDHS1990433004,1990,DHS,240,333,,,1
NGA,Northeast - 1990,4890004,Number of children 12-23 months,359,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NUM,93906270,D,433001,1433001,Region,Northeast - 1990,0,,0,1,CHVACCCNUM,NGDHS1990433001,1990,DHS,,362,,,1
NGA,Northwest - 1990,2090714,Number of children 12-23 months,373,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NUM,93906270,D,433002,1433002,Region,Northwest - 1990,0,,0,1,CHVACCCNUM,NGDHS1990433002,1990,DHS,,302,,,1
NGA,Southeast - 1990,2096709,Number of children 12-23 months,408,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NUM,93906270,D,433003,1433003,Region,Southeast - 1990,0,,0,1,CHVACCCNUM,NGDHS1990433003,1990,DHS,,340,,,1
NGA,Southwest - 1990,5988071,Number of children 12-23 months,240,0,NG,Nigeria,1990,NG1990DHS,CH_VACC_C_NUM,93906270,D,433004,1433004,Region,Southwest - 1990,0,,0,1,CHVACCCNUM,NGDHS1990433004,1990,DHS,,333,,,1
